Country Name,2015,2016,2017,2018,2019
Upper middle income,7435.764865,7413.222375,8064.205836,8569.236756,8657.732345
Uruguay,17125.90168,17009.75842,19184.65026,19249.94047,18315.7317
Uzbekistan,2803.19018,2753.379514,2190.604116,1813.085308,2041.384807
Vanuatu,2854.894123,2956.126448,3159.860558,3206.657487,3207.446505
Venezuela,4103.138499,3670.157378,3791.331607,3422.65467,2523.112752
Vietnam,2577.568853,2735.060438,2956.109921,3222.310031,3440.900254
Virgin Islands (U.S.),34007.35294,35324.97489,35365.0693,36663.20876,38633.52989
Palestinian Territories,3272.154324,3527.613824,3620.360487,3562.330943,3656.858271
World,10161.94458,10204.92878,10747.76431,11309.38308,11376.08181
Yemen,1362.173812,975.359417,811.1659704,633.8872025,
Zambia,1295.877887,1239.085279,1483.465773,1463.899979,1258.986198
Zimbabwe,1387.126326,1408.139453,3445.44941,2270.895319,2184.329239
